Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
30-10-2023,34556.24281,,,34556.24281,,-363,,,-363,,,,,
31-10-2023,34556.24281,34556.24281,34498.70392,34498.70392,,-362,,,-362,,,,,
01-11-2023,34498.70392,34672.28928,34498.70392,34672.28928,,-361,,,-361,,,,,
02-11-2023,34672.28928,35457.45491,34672.28928,35457.45491,,-360,,,-360,,,,,
03-11-2023,35457.45491,35457.45491,34924.05545,34924.05545,,-359,,,-359,,35436.53763,-1.446197099,34731.38137,0.554755019
04-11-2023,34924.05545,34924.05545,34731.38137,34731.38137,,-358,,,-358,,35795.08063,-2.971635328,34731.38137,0
05-11-2023,34731.38137,35048.40783,34731.38137,35048.40783,,-357,,,-357,,36768.42082,-4.677962626,35031.26888,0.048924727
06-11-2023,35048.40783,35061.92875,35048.40783,35061.92875,35457.45491,-356,-1.115495074,34498.70392,-356,1.632597071,37344.249,-6.111570891,35031.26888,0.087521429
07-11-2023,35061.92875,35061.92875,35031.26888,35031.26888,35457.45491,-355,-1.201964526,34498.70392,-355,1.543724552,37344.249,-6.19367153,35031.26888,0
08-11-2023,35031.26888,35436.53763,35031.26888,35436.53763,35457.45491,-354,-0.058992623,34672.28928,-354,2.204205033,37344.249,-5.108447545,35436.53763,0
09-11-2023,35436.53763,35795.08063,35436.53763,35795.08063,35795.08063,-353,0,34731.38137,-353,3.062645999,37344.249,-4.148345224,35795.08063,0
10-11-2023,35795.08063,36768.42082,35795.08063,36768.42082,36768.42082,-352,0,34731.38137,-352,5.865126493,37344.249,-1.541946075,35545.20143,3.441306664
11-11-2023,36768.42082,37344.249,36768.42082,37344.249,37344.249,-351,0,34731.38137,-351,7.523074317,37903.66245,-1.475882315,35545.20143,5.061295181
12-11-2023,37344.249,37344.249,37122.72282,37122.72282,37344.249,-350,-0.593200245,35031.26888,-350,5.970248892,37903.66245,-2.060327622,35545.20143,4.438071321
13-11-2023,37122.72282,37122.72282,37067.69698,37067.69698,37344.249,-349,-0.740547811,35031.26888,-349,5.813172531,37903.66245,-2.205500512,35545.20143,4.283266059
14-11-2023,37067.69698,37067.69698,36549.16205,36549.16205,37344.249,-348,-2.129074687,35031.26888,-348,4.33296656,37903.66245,-3.573534365,35545.20143,2.82446174
15-11-2023,36549.16205,36549.16205,35545.20143,35545.20143,37344.249,-347,-4.817468862,35436.53763,-347,0.3066434,37903.66245,-6.222251006,35545.20143,0
16-11-2023,35545.20143,37903.66245,35545.20143,37903.66245,37903.66245,-346,0,35545.20143,-346,6.63510382,37903.66245,0,36201.51611,4.701864792
17-11-2023,37903.66245,37903.66245,36201.51611,36201.51611,37903.66245,-345,-4.490717335,35545.20143,-345,1.846422728,37489.29847,-3.435066571,35965.36036,0.656620004
18-11-2023,36201.51611,36527.76023,36201.51611,36527.76023,37903.66245,-344,-3.629998099,35545.20143,-344,2.764251579,37489.29847,-2.564833925,35965.36036,1.563726483
19-11-2023,36527.76023,36582.36844,36527.76023,36582.36844,37903.66245,-343,-3.485927017,35545.20143,-343,2.917881927,37489.29847,-2.419170446,35965.36036,1.715562072
20-11-2023,36582.36844,37413.99461,36582.36844,37413.99461,37903.66245,-342,-1.291874748,35545.20143,-342,5.257511842,37738.9317,-0.861012951,35965.36036,4.027859676
21-11-2023,37413.99461,37489.29847,37413.99461,37489.29847,37903.66245,-341,-1.093203015,35545.20143,-341,5.46936565,37809.85287,-0.847806514,35965.36036,4.23723854
22-11-2023,37489.29847,37489.29847,35965.36036,35965.36036,37903.66245,-340,-5.113759372,35545.20143,-340,1.182041205,37809.85287,-4.878338226,35965.36036,0
23-11-2023,35965.36036,37464.83293,35965.36036,37464.83293,37903.66245,-339,-1.15774965,35965.36036,-339,4.169213255,37809.85287,-0.912513295,37250.16905,0.576276259
24-11-2023,37464.83293,37464.83293,37293.31613,37293.31613,37489.29847,-338,-0.522768767,35965.36036,-338,3.692318813,37809.85287,-1.366143213,37250.16905,0.115830551
